facility_name,state,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,heart_failure,heart_attack,copd,pneumonia,cabg,hip_knee_replacement
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9483,13.0146,13.7235,36,0,1,0,0,0,0
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-CABG-HRRP,0.9509,9.6899,10.1898,13,0,0,0,0,1,0
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0597,21.5645,20.3495,151,1,0,0,0,0,0
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9715,16.1137,16.5863,77,0,0,0,1,0,0
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9330,15.4544,16.5637,16,0,0,1,0,0,0
MARSHALL MEDICAL CENTERS,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MARSHALL MEDICAL CENTERS,AL,READM-30-HF-HRRP,0.9935,20.1511,20.2835,35,1,0,0,0,0,0
MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,0.8495,13.3621,15.7296,30,0,0,0,1,0,0
MARSHALL MEDICAL CENTERS,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,0.8696,15.5737,17.9090,14,0,0,1,0,0,0
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9463,17.7880,18.7982,24,0,0,1,0,0,0
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9666,19.1704,19.8318,95,1,0,0,0,0,0
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9704,11.8750,12.2373,36,0,1,0,0,0,0
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.0846,12.3902,11.4233,14,0,0,0,0,1,0
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0112,16.7862,16.6008,105,0,0,0,1,0,0
MIZELL MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,1.0277,17.8169,17.3362,Too Few to Report,0,0,1,0,0,0
MIZELL MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,1.0674,21.0944,19.7621,12,1,0,0,0,0,0
MIZELL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,1.0488,16.2187,15.4636,17,0,0,0,1,0,0
MIZELL MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
MIZELL MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ST. VINCENT'S EAST,AL,READM-30-COPD-HRRP,1.0120,17.7252,17.5152,11,0,0,1,0,0,0
ST. VINCENT'S EAST,AL,READM-30-AMI-HRRP,0.9675,11.8541,12.2521,16,0,1,0,0,0,0
ST. VINCENT'S EAST,AL,READM-30-PN-HRRP,1.0589,17.1812,16.2255,63,0,0,0,1,0,0
ST. VINCENT'S EAST,AL,READM-30-HF-HRRP,1.0439,20.3295,19.4740,63,1,0,0,0,0,0
ST. VINCENT'S EAST,AL,READM-30-CABG-HRRP,1.1146,11.9953,10.7622,12,0,0,0,0,1,0
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0505,19.7116,18.7646,20,1,0,0,0,0,0
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9685,13.8098,14.2595,20,0,0,0,1,0,0
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0044,13.3991,13.3406,Too Few to Report,0,0,1,0,0,0
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0125,11.2791,11.1395,Too Few to Report,0,1,0,0,0,0
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0434,17.3446,16.6237,40,0,0,0,1,0,0
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.0792,12.1319,11.2418,Too Few to Report,0,0,0,0,1,0
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9794,19.4001,19.8080,Too Few to Report,0,0,1,0,0,0
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0005,20.5099,20.5005,47,1,0,0,0,0,0
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0186,14.4337,14.1707,12,0,1,0,0,0,0
CALLAHAN EYE HOSPITAL,AL,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
CALLAHAN EYE HOSPITAL,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
CALLAHAN EYE HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CALLAHAN EYE HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
CALLAHAN EYE HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
HELEN KELLER HOSPITAL,AL,READM-30-HF-HRRP,0.9294,17.7522,19.1001,40,1,0,0,0,0,0
HELEN KELLER HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
HELEN KELLER HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HELEN KELLER HOSPITAL,AL,READM-30-COPD-HRRP,1.0188,17.2095,16.8912,29,0,0,1,0,0,0
HELEN KELLER HOSPITAL,AL,READM-30-PN-HRRP,1.0441,15.3127,14.6665,39,0,0,0,1,0,0
DALE MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
DALE MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9912,17.8648,18.0228,Too Few to Report,0,0,1,0,0,0
DALE MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
DALE MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0580,15.7295,14.8668,14,0,0,0,1,0,0
DALE MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0522,21.5293,20.4608,11,1,0,0,0,0,0
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9728,14.0753,14.4685,Too Few to Report,0,0,0,1,0,0
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-HF-HRRP,1.0380,21.0958,20.3240,67,1,0,0,0,0,0
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-CABG-HRRP,1.1302,11.7520,10.3983,Too Few to Report,0,0,0,0,1,0
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-PN-HRRP,1.0023,17.0171,16.9786,25,0,0,0,1,0,0
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-COPD-HRRP,0.9825,18.7156,19.0490,12,0,0,1,0,0,0
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-AMI-HRRP,1.0485,14.2860,13.6247,30,0,1,0,0,0,0
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-PN-HRRP,1.0422,17.2334,16.5361,43,0,0,0,1,0,0
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-CABG-HRRP,0.9257,10.5183,11.3627,Too Few to Report,0,0,0,0,1,0
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-HF-HRRP,1.0036,19.3075,19.2384,63,1,0,0,0,0,0
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-COPD-HRRP,0.9693,17.6207,18.1793,12,0,0,1,0,0,0
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-AMI-HRRP,0.9784,14.4231,14.7409,20,0,1,0,0,0,0
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-PN-HRRP,0.9050,13.3222,14.7207,Too Few to Report,0,0,0,1,0,0
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-HF-HRRP,1.0648,19.9011,18.6901,40,1,0,0,0,0,0
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-COPD-HRRP,0.9654,18.7893,19.4632,Too Few to Report,0,0,1,0,0,0
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-AMI-HRRP,1.0742,11.6920,10.8840,11,0,1,0,0,0,0
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-CABG-HRRP,1.0358,10.1365,9.7862,Too Few to Report,0,0,0,0,1,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-PN-HRRP,1.1073,18.0778,16.3256,73,0,0,0,1,0,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-COPD-HRRP,0.9857,19.4171,19.6981,29,0,0,1,0,0,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-CABG-HRRP,1.0866,12.5237,11.5254,47,0,0,0,0,1,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-AMI-HRRP,1.1000,15.6982,14.2709,50,0,1,0,0,0,0
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-HF-HRRP,0.9451,18.8084,19.9019,123,1,0,0,0,0,0
COMMUNITY HOSPITAL INC,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
COMMUNITY HOSPITAL INC,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
COMMUNITY HOSPITAL INC,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
COMMUNITY HOSPITAL INC,AL,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
COMMUNITY HOSPITAL INC,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0180,18.7366,18.4048,70,1,0,0,0,0,0
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9979,12.4436,12.4695,Too Few to Report,0,1,0,0,0,0
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0465,15.5805,14.8880,68,0,0,0,1,0,0
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0458,18.5561,17.7427,25,0,0,1,0,0,0
ANDALUSIA HEALTH,AL,READM-30-PN-HRRP,1.0138,16.0281,15.8097,24,0,0,0,1,0,0
ANDALUSIA HEALTH,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ANDALUSIA HEALTH,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ANDALUSIA HEALTH,AL,READM-30-HF-HRRP,1.0267,22.0685,21.4955,37,1,0,0,0,0,0
ANDALUSIA HEALTH,AL,READM-30-COPD-HRRP,0.9661,20.3127,21.0259,Too Few to Report,0,0,1,0,0,0
HUNTSVILLE HOSPITAL,AL,READM-30-CABG-HRRP,0.8656,8.4711,9.7862,18,0,0,0,0,1,0
HUNTSVILLE HOSPITAL,AL,READM-30-AMI-HRRP,0.9251,10.9967,11.8866,65,0,1,0,0,0,0
HUNTSVILLE HOSPITAL,AL,READM-30-COPD-HRRP,1.0004,17.3653,17.3585,74,0,0,1,0,0,0
HUNTSVILLE HOSPITAL,AL,READM-30-PN-HRRP,0.9728,15.0627,15.4836,200,0,0,0,1,0,0
HUNTSVILLE HOSPITAL,AL,READM-30-HF-HRRP,0.9752,19.1150,19.6017,241,1,0,0,0,0,0
